address,amount
TKX19BdVbwkXxFwbztnzzZnGTEkzzFjXHF,250034
TToyPceFZjwwW88J1tUmbYhPw5yMi9rHA3,101211
TBjPbQTne7VcmXJYQegcrKMHeT61q3Dka7,99391
TPDD4MziY2bSXbE1Z2qxRjUsNFkHxichDA,65528
TTPZZJSJyUPVXASuBMbfWjYBWH6yjL8hds,44202
THzBneayrkRANJkm6BSW6PHW2X8dTRjeET,35355
TAxPZeZTFLhEJSBpbaJQJSUED62jDhSSLH,35139
TWg4kSb2k4SZJzFCiuy2XB3uF4uRQNxn17,10039
TNZaoACm6DCr9fakQDty3wj5bGkiGcyUyj,10036
TUSFSKertC19q6hSGmiHG6VpLkhV3sE8He,9815
TQHhiwyTsZ9jp8M7ewu2mKBqp2tmc8cGhp,1150
TDNZQhV6saGSofy1HEQGiT9CtmrbXpb5SG,1026
TYkMXoNyQ8NL2Yn1FF58XtB6P1EvWHRqdM,1000
TVWBHVvj5YQPLM4gmQoJ5TCMk5QFq2oEkR,1000
TMWUG3NQGCxhKDRtZkRfPoScLuQhgozVf7,1000
TDJXMxcDbyd7BcUhnbAerH8ntTEoiCYKqj,1000
TNQS3XvBnRMcQboHQNxewnkTwHPh1qkhvW,1000
TGrZrCWCfHRmGBUX7DXeHR9WwQ2G7Rp7QM,1000
TKJ31RxGHAaKNH4rcZCBezyWcZxmWbq1WX,999
TGHjyLRHTXZLxinjDKxFxnABpCR94aTfxv,999
TRSAy5MH9SG6Y5g4SzPo3HZYrDT2B4r6LB,999
TUzr2pdHQUZnZCjHuRt4wg2VoX4CNBfkFZ,997
TSep1d4tW7sxyG9Dbkt6fEHZGr8EmHU6RS,996
TA4BsACfmcFD2g2HSBVGeVFni5ckwPfxHd,990
TVMyi8WimiXS2LSHu3KFLvN9Ky8ujxxaEE,990
TCiUinYUR7aohCRmeLGPEzxutfr4FWA8CV,990
TN1GxSdGUj3Pw3Bq5YgRhV7YHpMb7h8nnY,944
TTfzyswS4bQqv9oDjLMQbgTDsLPjfZjFqJ,757
TUfp4Ss95xaKQPNGpbiZDsMPe4NR16CDiL,520
TEsvdyh3Z9AfYfqQ4XE9WNXUvx9AE6K5gW,287
TDfhoNv8Ub3muwvyyPjSDLZF7hDQMzEHVW,230
TXnRM5WENQFdS3qWLhTSYd1FG1YhqufvGu,200
TPqAMYTo425iFKuYttPFVhp8ExyGjr2egu,150
TFJm3hpdsUMyn6feoDXopNes71Q9NZqYBG,135
TXbXoqnEXq9baaUeLaGyXubBQrDodYgjg2,118
TPn1D2q7Q4CJM2gX3YL1FXZU8gYkr5jd81,111
TVyvEFhfXG3F2E7zKWaPaqbHtkjpAUodct,100
TW2ipXkh8TQ6wSHoDmRorW81q8waBcBWjE,100
TAQTZyFbx92GjXMYxWhty6jePtvx6HaXg7,100
TXteTr1owu55iHXtF8iEpcSKcjZBHXm7gn,100
TTcZNMf7ZerWZ4FcGuepjCs1PyJAj3mUZT,100
TB3MvCyRKMyGDGN2mfbF1ZZUVEHxUD2Sh7,99
TMN2yRcXwF8DFyGPnmMC9yFxoiqSB2APH5,94
